,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,profit
76,50500420007,2023-06-20 15:30:14.000,2023-06-20 15:30:14.908,2023-06-20 15:30:14.000,2023-06-20 15:30:14.908,0,sell,1,0,4,11031994,50500420007,0,3,1.0,0.0,1.27401,1.27648,1.2719,1.27401,0.0,GBPUSD,Ordem de venda e,,165.89
77,50500820716,2023-06-20 17:06:33.000,2023-06-20 17:06:33.642,2023-06-20 17:06:33.000,2023-06-20 17:06:33.642,0,sell,1,0,4,11031994,50500820716,0,3,1.0,0.0,1.27194,1.27489,1.27031,1.27194,0.0,GBPUSD,Ordem de venda e,,-231.39
78,50501200106,2023-06-20 19:46:50.000,2023-06-20 19:46:50.637,2023-06-20 19:46:50.000,2023-06-20 19:46:50.637,0,buy,1,0,4,11031994,50501200106,0,3,1.0,0.0,1.27493,1.2729,1.27747,1.27493,0.0,GBPUSD,Ordem de compra ,,198.83
79,50501830473,2023-06-21 09:08:58.000,2023-06-21 09:08:58.621,2023-06-21 09:08:58.000,2023-06-21 09:08:58.622,0,sell,1,0,4,11031994,50501830473,0,3,1.0,0.0,1.27611,1.27807,1.27349,1.27611,0.0,GBPUSD,Ordem de venda e,,-153.36
80,50501895436,2023-06-21 09:45:15.000,2023-06-21 09:45:15.512,2023-06-21 09:45:15.000,2023-06-21 09:45:15.512,0,buy,1,0,4,11031994,50501895436,0,3,1.0,0.0,1.27816,1.2760799999999999,1.28065,1.27816,0.0,GBPUSD,Ordem de compra ,,-163.0
81,50501945656,2023-06-21 10:15:06.000,2023-06-21 10:15:06.081,2023-06-21 10:15:06.000,2023-06-21 10:15:06.081,0,sell,1,0,4,11031994,50501945656,0,3,1.0,0.0,1.2757,1.27807,1.27349,1.2757,0.0,GBPUSD,Ordem de venda e,,173.54
82,50502166369,2023-06-21 12:15:05.000,2023-06-21 12:15:05.343,2023-06-21 12:15:05.000,2023-06-21 12:15:05.344,0,sell,1,0,4,11031994,50502166369,0,3,1.0,0.0,1.27105,1.2732999999999999,1.26872,1.27105,0.0,GBPUSD,Ordem de venda e,,-176.71
83,50502990484,2023-06-21 17:30:06.000,2023-06-21 17:30:06.932,2023-06-21 17:30:06.000,2023-06-21 17:30:06.932,0,buy,1,0,4,11031994,50502990484,0,3,1.0,0.0,1.27409,1.27131,1.27588,1.27409,0.0,GBPUSD,Ordem de compra ,,140.3
84,50503318742,2023-06-21 19:52:36.000,2023-06-21 19:52:36.425,2023-06-21 19:52:36.000,2023-06-21 19:52:36.425,0,buy,1,0,4,11031994,50503318742,0,3,1.0,0.0,1.2759,1.2729,1.27747,1.2759,0.0,GBPUSD,Ordem de compra ,,122.9
85,50503476702,2023-06-21 21:30:16.000,2023-06-21 21:30:16.275,2023-06-21 21:30:16.000,2023-06-21 21:30:16.275,0,buy,1,0,4,11031994,50503476702,0,3,1.0,0.0,1.27853,1.2760799999999999,1.28065,1.27853,0.0,GBPUSD,Ordem de compra ,,-191.99
86,50504038763,2023-06-22 10:00:09.000,2023-06-22 10:00:09.061,2023-06-22 10:00:09.000,2023-06-22 10:00:09.061,0,sell,1,0,4,11031994,50504038763,0,3,1.0,0.0,1.27448,1.27648,1.2719,1.27448,0.0,GBPUSD,Ordem de venda e,,-156.68
87,50504158355,2023-06-22 11:00:18.000,2023-06-22 11:00:18.607,2023-06-22 11:00:18.000,2023-06-22 11:00:18.607,0,buy,1,0,4,11031994,50504158355,0,3,1.0,0.0,1.27661,1.2744900000000001,1.2790599999999999,1.27661,0.0,GBPUSD,Ordem de compra ,,191.55
88,50504799439,2023-06-22 15:45:12.000,2023-06-22 15:45:12.859,2023-06-22 15:45:12.000,2023-06-22 15:45:12.859,0,sell,1,0,4,11031994,50504799439,0,3,1.0,0.0,1.27533,1.27807,1.27349,1.27533,0.0,GBPUSD,Ordem de venda e,,144.48
